Compound,180430_02_tic.csv,180430_03_tic.csv,180507_02_tic.csv,180507_03_tic.csv,180524_02_tic.csv,180524_03_tic.csv,180524_04_tic.csv,180524_05_tic.csv,180601_02_tic.csv,180717_02_tic.csv,180717_03_tic.csv,180719_02_tic.csv,180719_03_tic.csv,180719_04_tic.csv,180719_05_tic.csv,180720_02_tic.csv,180720_03_tic.csv,180720_04_tic.csv,180720_05_tic.csv,180720_06_tic.csv,180720_07_tic.csv,180727_03_tic.csv,180727_04_tic.csv,180727_05_tic.csv,180727_06_tic.csv,181002_02_tic.csv,181002_03_tic.csv,181002_04_tic.csv,181002_05_tic.csv,181002_06_tic.csv,181002_07_tic.csv,181002_08_tic.csv,181002_09_tic.csv,181002_10_tic.csv,181002_11_tic.csv,181002_12_tic.csv,181002_13_tic.csv,181009_02_tic.csv,181009_03_tic.csv,181009_04_tic.csv,181009_05_tic.csv,181009_06_tic.csv,181009_07_tic.csv,181009_08_tic.csv,181009_09_tic.csv,181010_02_tic.csv,181010_03_tic.csv,181010_04_tic.csv,181010_05_tic.csv,181010_06_tic.csv,181010_07_tic.csv,181010_08_tic.csv,181011_02_tic.csv,181011_03_tic.csv,181011_04_tic.csv,190125_02_tic.csv,190125_03_tic.csv,190125_04_tic.csv,190125_05_tic.csv,190125_06_tic.csv,190125_07_tic.csv,190125_08_tic.csv,190125_09_tic.csv,190125_10_tic.csv
1-butanol,10581811,7856920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25556408,0,0,0,0,0,0,0,0,0,0,0,179333586,182789878,925536388,158739829,61205720,102664441,102113611,120040087,75906270,56810334,40475639,111971842,79878548,119128913,76614520,304306975,366552117,263370010,705338521,470827143,1046899767,599352461,536997334,581060751,275630107,439851926,354122323
"1-butanol, 3-methyl",1325595450,1675904341,1225820478,1775106067,1272264477,1189245821,636581342,746005936,726956045,2624410169,0,1441085036,1455106390,596109987,1679041992,446422239,2079041419,2885282125,4515805583,2082799808,2641889002,8199157201,1200565178,7664566503,6789433471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437036351,0,1379280182,7468451098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",7054561,4785106,0,11054419,0,0,0,0,2788907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43375721,0,42565314,64246373,43617822,0,0,50908205,0,0,57569610,50727965,0,0,0,0,26469691,0,0,66853237,0,0,0,0,0,0,0,36203688,0,0,0,149291772,144673899,0,0,0,108414564,79160577,273789258
1-Propanol,20001493,20693908,160263166,84396182,230364805,162224618,64986044,133350387,94658486,128917030,48370636,37603002,29260600,0,52677506,0,54306126,120691276,119741416,167062439,119254688,313963365,750147608,589965295,601595945,237309005,303930145,122268806,275219752,154217126,112676877,202316393,90654263,218259825,458333953,138471105,53771063,127202063,113165088,72311153,158270623,165427938,55617150,0,0,0,0,0,0,0,0,0,144654385,146575719,74030072,73512364,26210263,230874683,175885335,283702029,531650291,78732870,55551213,79311996
1-propanol 2-methyl,19001068,17717550,23897274,30985883,290571971,284797323,362375129,224773311,18175301,311876031,630172316,392614404,497093624,504301621,415044329,44173025,0,537116895,930963831,0,431858723,2659429139,3251552953,2007027597,2416346348,707100145,427198875,48674102,815248849,863079792,682908065,121158583,1015219806,973821970,121313127,720717949,833641835,739402101,500677421,43430369,215341036,478628713,237086639,77838934,145584837,855890762,870917376,52953744,980957494,455350906,500194026,656504363,878618813,141455462,182926201,41164218,0,45002575,990471026,1364054583,562590000,335978277,460111766,231305016
2-butanone,37600753,24796993,39693535,62057127,233189927,260817391,176077288,131544888,30290575,435745646,579418986,464446361,520559490,516084532,436045680,256577985,355096618,336914668,463588892,83002690,342144776,1489281486,1543418338,1634088885,1309737965,425659532,563056821,302617095,499271209,763228607,699047961,451121596,669198778,768706731,357767993,657156463,673267275,518039648,589041122,254928894,395025841,545386423,578959569,365678714,364683850,976625614,947019151,773536086,583139058,476807712,423276548,493163709,444426849,143851651,175137104,169094283,72713230,258220103,475600275,580902789,438640832,605859685,712061479,624386430
"2-butanone, 3-hydroxy",1325429900,1674612028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492110529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175540255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-heptanone,3902140,4105578,0,0,0,0,0,0,0,0,0,0,89391000,197482636,102069663,153455818,0,28327419,0,0,0,0,0,0,0,0,205305248,206252758,0,0,0,58450906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107860407,106207212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Nonanone,23638376,6118746,9865382,12673202,16097369,34131310,8783482,5017841,6903660,264959229,0,77833954,91526134,0,107976180,86221348,112934614,52024239,60367950,26626290,44175404,240970179,131403740,202415302,87077552,0,133136443,157904267,83593883,103706509,84986587,222459527,106203367,81600685,71091913,136273981,116611289,187397312,127348477,48425581,483187291,297215353,256753048,0,0,207027196,155687863,121526628,0,70116327,0,0,0,0,0,56915065,76818575,139777114,0,0,0,220448385,154732601,139834382
2-pentanone,7972115,4823844,0,0,73554034,91670620,39164507,31901707,10159803,179660294,255853737,204729073,210843071,161698176,189922517,109382947,173833881,113053364,169180587,0,127209133,664739172,645411757,623864532,491176880,202018040,234743163,103049638,225658057,305072715,255191673,148306784,272177457,284790673,62631936,248224679,284406831,143613336,175672019,61745951,157078265,151503174,205059256,82695561,86509019,325057402,314495567,166917617,209591610,185303927,164457148,184809719,192852518,70079433,122297068,44128778,55599395,167977043,197453682,258959070,174197667,262684621,315728915,262221261
2-Undecanone,11399206,8966223,0,11876885,8002181,10492726,7665773,6787352,6220052,177723839,0,28052581,91190790,0,132350204,56924639,91796441,41443791,70848542,67538368,80458934,150065689,83302572,166483176,300759381,0,58821497,91511730,0,53451006,32747751,84815891,64792955,50193337,0,62039600,59198527,74954377,40372019,29320645,233398334,193753191,124282001,0,34681710,63272366,35986025,40247471,32557752,25853175,35604704,0,22146370,0,25532428,0,57097309,106517016,0,0,0,231915338,161951447,69754887
