,X180430_02_tic.csv,X180507_02_tic.csv,X180524_02_tic.csv,X180524_04_tic.csv,X180601_02_tic.csv,X180717_02_tic.csv,X180719_02_tic.csv,X180719_04_tic.csv,X180720_02_tic.csv,X180720_04_tic.csv,X180720_06_tic.csv,X180727_03_tic.csv,X180727_04_tic.csv,X181002_02_tic.csv,X181002_03_tic.csv,X181002_06_tic.csv,X181002_07_tic.csv,X181002_10_tic.csv,X181002_11_tic.csv,X181009_02_tic.csv,X181009_03_tic.csv,X181009_04_tic.csv,X181009_05_tic.csv,X181009_06_tic.csv,X181009_07_tic.csv,X181009_08_tic.csv,X181009_09_tic.csv,X181010_02_tic.csv,X181010_03_tic.csv,X181010_04_tic.csv,X181010_05_tic.csv,X181010_06_tic.csv,X181010_07_tic.csv,X181010_08_tic.csv,X181011_02_tic.csv,X181011_03_tic.csv,X181011_04_tic.csv,X190125_02_tic.csv,X190125_03_tic.csv,X190125_04_tic.csv,X190125_05_tic.csv,X190125_06_tic.csv,X190125_07_tic.csv,X190125_08_tic.csv,X190125_09_tic.csv,X190125_10_tic.csv
1-butanol,0.001054994,0,0,0,0,0,0,0,0,0,0,0,0,0.001099026,0,0,0,0,0,0.009760276,0.011180122,0.086215226,0.012716735,0.005444595,0.006213228,0.009594527,0.017458884,0.006049491,0.003115365,0.002603279,0.006488607,0.006075945,0.011296743,0.006421034,0.015932722,0.020159922,0.019289779,0.05690113,0.111189988,0.047536578,0.026641084,0.024133117,0.026562546,0.034828712,0.057782124,0.044402104
"1-butanol, 3-methyl",0.132160282,0.394119875,0.253985008,0.183036275,0.17511255,0.248154625,0.171633591,0.083883968,0.089177988,0.210308939,0.30913291,0.281831761,0.045389176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114527269,0,0.088711413,0.432785994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",0.000703331,0,0,0,0.000671805,0,0,0,0,0,0,0,0,0.001865327,0,0.002264919,0,0,0,0,0,0,0,0.002354629,0,0,0.009723276,0,0,0,0,0,0,0,0.001895531,0,0,0,0.035256571,0.006569208,0,0,0,0.0136993,0.010399105,0.034329435
1-Propanol,0.001994125,0.051527039,0.045988242,0.018685441,0.022801776,0.012189923,0.004478527,0,0,0.008797217,0.024795709,0.010791944,0.028360461,0.01020522,0.013136056,0.00800795,0.005996895,0.012873571,0.026528116,0.006923004,0.006921606,0.006735902,0.012679146,0.014715752,0.003365937,0,0,0,0,0,0,0,0,0,0.007573728,0.008061487,0.00542212,0.005930396,0.006189785,0.010483327,0.007818064,0.01274981,0.024303802,0.009948712,0.007297608,0.009944641
1-propanol 2-methyl,0.001894384,0.007683336,0.058007534,0.104193744,0.004378151,0.029489857,0.046760475,0.070964792,0.008824071,0.039150586,0,0.091413249,0.122929861,0.030408087,0.018463809,0.04481668,0.036345771,0.057438726,0.007021537,0.040242146,0.03062333,0.00404561,0.017251088,0.042576734,0.014348428,0.007313695,0.021174167,0.068211797,0.04775937,0.003405836,0.056845075,0.034636169,0.047432344,0.055021386,0.046002197,0.007779879,0.013397903,0.003320803,0,0.002043432,0.044026217,0.061301773,0.025718176,0.042454326,0.060443602,0.029002491
2-butanone,0.00374875,0.012762074,0.046552228,0.050627514,0.007296534,0.041202514,0.055315679,0.072622871,0.05125441,0.024557795,0.012319409,0.051191459,0.058351257,0.018305034,0.024335677,0.039631761,0.03720477,0.04534046,0.020707414,0.028194438,0.036027989,0.023747043,0.031645737,0.04851521,0.035038497,0.034358929,0.05304039,0.077833984,0.05193264,0.04975166,0.033792069,0.036268276,0.040138422,0.041331866,0.023269034,0.007911666,0.012827413,0.013641189,0.017171871,0.011725,0.021140326,0.026106265,0.020051978,0.07655663,0.093541535,0.078289533
"2-butanone, 3-hydroxy",0.132143777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260000875,0,0,0,0,0,0,0,0,0,0,0,0,0.013352432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-heptanone,0.000389039,0,0,0,0,0,0,0.027789548,0.030654568,0.002064793,0,0,0,0,0.008873424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006937277,0.006154555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Nonanone,0.002356718,0.00317187,0.003213554,0.002525515,0.001662986,0.025053575,0.009270044,0,0.017223708,0.00379206,0.003951922,0.008282931,0.004967916,0,0.005754242,0.005385112,0.004523161,0.004813035,0.004114761,0.010199146,0.007789116,0.004510922,0.038708399,0.026438988,0.015538634,0,0,0.016499415,0.008537612,0.00781625,0,0.005333383,0,0,0,0,0,0.004591457,0.018141385,0.006346859,0,0,0,0.027855931,0.020326791,0.017533322
2-pentanone,0.00079481,0,0.014683757,0.011260973,0.002447341,0.01698802,0.024383284,0.022753997,0.021850504,0.008240488,0,0.022849252,0.024400764,0.00868757,0.01014575,0.015841347,0.013581826,0.016797745,0.003625102,0.007816192,0.010744767,0.005751736,0.012583626,0.013477065,0.012410138,0.00777002,0.012582055,0.025906051,0.017246309,0.010735671,0.012145532,0.014095103,0.015595124,0.015488834,0.010097256,0.003854284,0.008957297,0.003559961,0.013130288,0.007627334,0.008776772,0.011637841,0.007963253,0.033192916,0.041476429,0.032878966
2-Undecanone,0.001136487,0,0.001597493,0.00220414,0.001498315,0.016804916,0.003341069,0,0.011371353,0.003020848,0.010024167,0.005158247,0.003149379,0,0.002542303,0.002775522,0.001742903,0.002960543,0,0.004079411,0.002469306,0.002731266,0.018697669,0.017235443,0.007521517,0,0.005044181,0.005042608,0.001973402,0.002588604,0.001886675,0.001966516,0.003376319,0,0.001159526,0,0.001870049,0,0.013484034,0.004836618,0,0,0,0.029304899,0.021275111,0.00874631
"2,3 Butanedione",0.000959998,0,0,0,0.002488883,0,0,0,0.009882582,0,0,0,0,0.035645138,0,0,0,0,0,0,0,0,0,0,0,0.017925644,0,0,0,0.014029428,0,0.132973993,0,0.050003829,0,0.016844422,0.014226052,0.01842315,0.020766501,0.00562725,0.025385581,0,0.029750981,0,0,0
"2,3-pentanedione",0.000596353,0,0,0,0,0,0,0,0,0,0,0.001658594,0,0,0,0,0,0,0,0,0,0,0,0.004490654,0,0,0,0,0,0,0,0,0,0,0,0.001029427,0,0,0,0,0,0,0,0.006777638,0,0
Acetaldehyde,0.000108869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001928355,0.003418905,0.003671511,0.003395606,0,0,0,0,0,0,0,0,0,0,0,0
Acetic acid,0.001894854,0,0.057416578,0.098344219,0,0,0,0,0,0,0,0,0,0.057215054,0.061898743,0,0.146292469,0,0.047565871,0,0,0.022677097,0,0,0,0,0.084529504,0,0,0,0,0,0,0,0,0.010817932,0,0.01347031,0.040406121,0.047113318,0,0,0,0,0,0
Acetoin,0.132143777,0,0,0,0.175118461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013352432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone,0.009285629,0.038333012,0.165120678,0.253508742,0.023936545,0.038785194,0.081077996,0.138835583,0.042365659,0.039808193,0.016290269,0.09306606,0,0.039481993,0.023390622,0.072062206,0.051167944,0.081344997,0.016319106,0.037406038,0.038019375,0.004198009,0.009973747,0.049124424,0.012869923,0.028160567,0.041337997,0.085439991,0.063801916,0.0297038,0.084453018,0.03768497,0.028731464,0.056161014,0.060573005,0.003168823,0.006516906,0.011780955,0,0.00972115,0.011964584,0.030575371,0.007384833,0.051673843,0.093272883,0.043937355
Acetophenone,0.000540097,0.001516666,0.001243552,0.00162183,0.000677913,0.002677287,0.003173128,0.002535781,0.004242066,0.002212711,0.001515903,0,0,0.001636138,0,0.002723678,0.003313332,0,0,0.001619173,0,0.003071561,0.004194204,0.002312951,0.003564847,0,0.003814676,0.003164559,0.004483937,0.002905463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002856395,0.00321123
Benzaldehyde,0.000654373,0.004176185,0.001676637,0.001685881,0.001054256,0.005327456,0.016462262,0.094521872,0.026092312,0.120892243,0.011461994,0,0.186839388,0,0.156437016,0,0,0,0,0,0,0,0,0,0,0.070000523,0.129051358,0.034442015,0.018609392,0.032267503,0.013043765,0.041744626,0.029352143,0.027772464,0,0,0,0.040283952,0.087602311,0.012161717,0,0,0.009967042,0.011698677,0.009991577,0.008983555
"Butanal, 2-methyl",0.001263109,0.006446705,0.012205034,0.002659331,0.002324079,0.01541338,0.0124617,0.030634231,0.034190043,0.01062104,0.006442597,0.013808038,0.018650681,0.015439729,0.01557495,0.016117635,0,0.015630419,0.021410126,0.020625053,0.014277236,0.015680435,0.025374861,0.027237203,0.023389402,0.146255652,0.174937281,0.061954627,0.058638343,0.086587844,0.035652261,0.083615203,0.104933813,0.088030081,0.033843584,0.039355152,0.062585862,0.04390816,0.022222309,0.036140693,0.071127237,0.060095808,0.082977069,0.011077969,0.010277946,0.011556278
"Butanal, 3-methyl",0.006450506,0,0.028077387,0.012937212,0.013005147,0.065147509,0.065792168,0.144072845,0.12898072,0.023717072,0.094238202,0.040898232,0.052283572,0.040173932,0.047966053,0.047345907,0.028207885,0.054479973,0.069075755,0.037533664,0.048251302,0.047011691,0.076661936,0.090960512,0.07375616,0.367802917,0,0.228048246,0.172568175,0.249165156,0.107628277,0.242795042,0.29140599,0.233607629,0.081757276,0.078974512,0.130174017,0.11495445,0.068996277,0.078021527,0.13418541,0.129300564,0.160597653,0.029634385,0.042971517,0.045613401
Butanoic acid,0,0,0.004923772,0,0.006004236,0.011292637,0,0.022864879,0,0.018407831,0,0.00577415,0.004349833,0.003487665,0.003539736,0,0.007718117,0.002177619,0.001171807,0,0,0.005324518,0,0,0,0,0.006965159,0,0,0,0,0.003997552,0,0,0,0,0,0,0,0.000973681,0,0,0,0.006232314,0,0
"Butanoic acid, 3-methly",1.23E-05,0,0,0,0.002945483,0,0,0,0.015152961,0,0,0,0,0,0.007957605,0.006586011,0.006829417,0.006067481,0,0.018286594,0,0,0,0,0,0,0.009534456,0.016562435,0.008648202,0.018596721,0.004079565,0.009822359,0,0.008096764,0,0.002846572,0.003401439,0,0,0,0,0,0,0,0,0
Dimethyl Sulfide,0.001463629,0.003639158,0.020908221,0.039337396,0.002734694,0.004902979,0.082717789,0,0,0,0,0,0,0.006178421,0.004618802,0.009859315,0.005963751,0,0.004554273,0.012146807,0.007924123,0.005297233,0.00255904,0,0.003050809,0,0,0,0,0,0,0,0,0,0.010268233,0.003527234,0.006046487,0,0,0.00258359,0.004934539,0.006924299,0.005985138,0,0,0.007658455
Dimethyl sulfone,0.000490766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004367208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimethyl sulfoxide,4.28E-05,0,0,0,0,0,0.015407845,0,0.00536414,0,0.002941414,0,0,0.00216969,0.003028925,0.007265976,0,0,0.001894764,0,0.010328959,0,0.002126009,0,0,0,0,0.009247253,0,0,0,0.002791098,0,0,0,0,0,0,0,0.006703408,0.001134362,0,0,0,0,0.040624544
Dimethyl Trisulfide,0.00722481,0.030105968,0.008321897,0.013506388,0.0049702,0,0.042135366,0,0.023154425,0.114678005,0.109582823,0.145439033,0.186821192,0.250867714,0.156437093,0.166818384,0.165043757,0.176661821,0.17267653,0.39406701,0.267285309,0.210385959,0.125790141,0.045907837,0.193362596,0.019889713,0.018623975,0.009563913,0.082242752,0.017785417,0.033743782,0.026525032,0.045159826,0.039444095,0.127756391,0.147921399,0.424915643,0.08523632,0.14071015,0.100386457,0.118540232,0.126110319,0.093224468,0.123475056,0.104934049,0.111967242
Disulfide dimethyl,0.132124531,0.393975104,0.253956295,0.182913738,0.175160894,0.248603157,0.171722696,0.083999949,0.089383153,0.210672533,0.263920252,0,0.045436166,0.373396307,0.292637386,0.424106709,0.340722522,0.381993229,0.260488423,0.062454202,0.361281503,0.390362282,0.374568242,0.217660975,0.403318653,0,0,0,0.259353744,0.12841549,0,0,0,0,0.46263077,0.474398747,0.094904955,0.264177898,0.157564272,0.394642884,0.323122885,0.318120821,0.305840695,0.203899497,0.156409132,0.173785333
Ethanol,0.000415791,0.003596499,0.002714845,0.001765963,0.001354433,0,0,0,0,0,0,0,0,0.001414285,0.001319812,0.001555738,0.001382957,0.00131547,0.005827049,0.002054022,0,0,0.01177342,0.101918717,0,0.00631948,0,0,0,0,0.001093651,0,0.00193252,0,0.000871555,0.001143038,0.00118656,0.005078665,0,0.002502817,0,0,0.004682893,0.010656678,0.010564368,0.011410079
"Ethanol, 2-nitro-, pro...",0.13052812,0.013750822,0,0,0.17044754,0.006282384,0,0,0.007695061,0.006509487,0.014244195,0.011636766,0.011886968,0,0.010402088,0,0,0.01057453,0.003995491,0,0,0.003512636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006782322,0,0,0,0,0,0,0,0,0,0
